book-delta-v1-0.2-5-1,book-imbalance-0.2-5-1,mid_price,timestamp
-0.015298177,206.911343,8397800,03:26.1
-0.006873914,206.911343,8397800,03:27.1
-0.003088649,206.911343,8397800,03:28.1
-1.00020103,105.0245343,8397300,03:29.1
-1.284876207,-13.81101571,8397900,03:30.1
-0.577332095,-13.81101571,8397900,03:31.1
-0.259412032,-13.81101571,8397900,03:32.1
-0.11656134,-13.81101571,8397900,03:33.1
-1.019994349,-23.93383014,8398400,03:34.1
-0.458313004,-23.93383014,8398400,03:35.1
0.839184401,-5.190476714,8398400,03:36.1
0.377069857,-5.190476714,8398400,03:37.1
0.169428408,-5.190476714,8398400,03:38.1
0.037121364,-778.2714481,8399500,03:39.1
0.016679704,-778.2714481,8399500,03:40.1
0.007494674,-778.2714481,8399500,03:41.1
1.725640787,-778.2714481,8399500,03:42.1
0.775380387,-778.2714481,8399500,03:43.1
0.348400866,-778.2714481,8399500,03:44.1
1.07800261,-549.7304294,8400400,03:45.1
0.484377796,-549.7304294,8400400,03:46.1
0.217644973,-549.7304294,8400400,03:47.1
0.09779419,-549.7304294,8400400,03:48.1
0.043941762,-549.7304294,8400400,03:49.1
-0.99111936,-519.6088286,8402300,03:50.1
-0.445338636,-519.6088286,8402300,03:51.1
-0.200103548,-519.6088286,8402300,03:52.1
-1.039196507,-1004.197509,8401400,03:53.1
-0.46694109,-1004.197509,8401400,03:54.1
-1.112070606,-1102.925565,8401400,03:55.1
-0.499685534,-1102.925565,8401400,03:56.1
-0.224523183,-1102.925565,8401400,03:57.1
-0.100884769,-1102.925565,8401400,03:58.1
-0.045330449,-1102.925565,8401400,03:59.1
-2.006151057,-1217.409948,8400800,04:00.1
-0.693202837,-1335.512988,8400800,04:01.1
-1.119519719,-1402.996161,8400800,04:02.1
-0.503032635,-1402.996161,8400800,04:03.1
-0.226027133,-1402.996161,8400800,04:04.1
0.936042983,-1402.996161,8400800,04:05.1
0.420591224,-1402.996161,8400800,04:06.1
0.188983819,-1402.996161,8400800,04:07.1
0.084915904,-1402.996161,8400800,04:08.1
0.038155175,-1402.996161,8400800,04:09.1
0.017144225,-1402.996161,8400800,04:10.1
0.007703397,-1402.996161,8400800,04:11.1
1.000736999,-1162.211967,8400200,04:12.1
1.285072039,-770.5768816,8400200,04:13.1
0.577420088,-770.5768816,8400200,04:14.1
1.145580054,-369.6375392,8399900,04:15.1
1.33574638,-86.54413127,8398900,04:16.1
-0.399812,-89.52022517,8398900,04:17.1
-0.179647112,-89.52022517,8398900,04:18.1
-0.080720651,-89.52022517,8398900,04:19.1
-0.036270126,-89.52022517,8398900,04:20.1
-0.016297218,-89.52022517,8398900,04:21.1
-0.007322812,-89.52022517,8398900,04:22.1
-0.997043116,-89.52022517,8398900,04:23.1
-0.44800035,-89.52022517,8398900,04:24.1
-1.202084131,-151.3559245,8397900,04:25.1
-0.540131217,-151.3559245,8397900,04:26.1
-0.2426966,-151.3559245,8397900,04:27.1
-0.109050612,-151.3559245,8397900,04:28.1
-0.048999599,-151.3559245,8397900,04:29.1
-0.022016939,-151.3559245,8397900,04:30.1
-0.009892848,-151.3559245,8397900,04:31.1
